Snarl	P_value
['5262678_5262675', ['>5262675>5262676>5262678']]	">5262675>5262676>5262678   NaN
dtype: float64"
['5262678_5262675', ['>5262675>5262677>5262678']]	">5262675>5262677>5262678   NaN
dtype: float64"
['5262675_5262672', ['>5262672>5262673>5262675']]	">5262672>5262673>5262675   NaN
dtype: float64"
['5262675_5262672', ['>5262672>5262674>5262675']]	">5262672>5262674>5262675   NaN
dtype: float64"
['5262672_5262669', ['>5262669>5262670>5262672']]	">5262669>5262670>5262672   NaN
dtype: float64"
['5262672_5262669', ['>5262669>5262671>5262672']]	">5262669>5262671>5262672   NaN
dtype: float64"
['5262669_5262666', ['>5262666>5262667>5262669']]	">5262666>5262667>5262669   NaN
dtype: float64"
['5262669_5262666', ['>5262666>5262668>5262669']]	">5262666>5262668>5262669   NaN
dtype: float64"
['5262666_5262664', ['>5262664>5262666']]	">5262664>5262666   NaN
dtype: float64"
['5262666_5262664', ['>5262664>5262665>5262666']]	">5262664>5262665>5262666   NaN
dtype: float64"
['5262664_5262661', ['>5262661>5262662>5262664']]	">5262661>5262662>5262664   NaN
dtype: float64"
['5262664_5262661', ['>5262661>5262663>5262664']]	">5262661>5262663>5262664   NaN
dtype: float64"
['5262661_5262658', ['>5262658>5262659>5262661']]	">5262658>5262659>5262661   NaN
dtype: float64"
['5262661_5262658', ['>5262658>5262660>5262661']]	">5262658>5262660>5262661   NaN
dtype: float64"
['5262658_5262655', ['>5262655>5262656>5262658']]	">5262655>5262656>5262658   NaN
dtype: float64"
['5262658_5262655', ['>5262655>5262657>5262658']]	">5262655>5262657>5262658   NaN
dtype: float64"
['5262655_5262652', ['>5262652>5262653>5262655']]	">5262652>5262653>5262655   NaN
dtype: float64"
['5262655_5262652', ['>5262652>5262654>5262655']]	">5262652>5262654>5262655   NaN
dtype: float64"
['5262652_5262649', ['>5262649>5262650>5262652']]	">5262649>5262650>5262652   NaN
dtype: float64"
['5262652_5262649', ['>5262649>5262651>5262652']]	">5262649>5262651>5262652   NaN
dtype: float64"
['5262649_5262646', ['>5262646>5262647>5262649']]	">5262646>5262647>5262649   NaN
dtype: float64"
['5262649_5262646', ['>5262646>5262648>5262649']]	">5262646>5262648>5262649   NaN
dtype: float64"
['5262646_5262643', ['>5262643>5262644>5262646']]	">5262643>5262644>5262646   NaN
dtype: float64"
['5262646_5262643', ['>5262643>5262645>5262646']]	">5262643>5262645>5262646   NaN
dtype: float64"
['5262643_5262640', ['>5262640>5262641>5262643']]	">5262640>5262641>5262643   NaN
dtype: float64"
['5262643_5262640', ['>5262640>5262642>5262643']]	">5262640>5262642>5262643   NaN
dtype: float64"
['5262640_5262637', ['>5262637>5262638>5262640']]	">5262637>5262638>5262640   NaN
dtype: float64"
['5262640_5262637', ['>5262637>5262639>5262640']]	">5262637>5262639>5262640   NaN
dtype: float64"
['5262637_5262634', ['>5262634>5262635>5262637']]	">5262634>5262635>5262637   NaN
dtype: float64"
['5262637_5262634', ['>5262634>5262636>5262637']]	">5262634>5262636>5262637   NaN
dtype: float64"
['5262634_5262631', ['>5262631>5262632>5262634']]	">5262631>5262632>5262634   NaN
dtype: float64"
['5262634_5262631', ['>5262631>5262633>5262634']]	">5262631>5262633>5262634   NaN
dtype: float64"
['5262631_5262628', ['>5262628>5262629>5262631']]	">5262628>5262629>5262631   NaN
dtype: float64"
['5262631_5262628', ['>5262628>5262630>5262631']]	">5262628>5262630>5262631   NaN
dtype: float64"
['5262628_5262625', ['>5262625>5262626>5262628']]	">5262625>5262626>5262628   NaN
dtype: float64"
['5262628_5262625', ['>5262625>5262627>5262628']]	">5262625>5262627>5262628   NaN
dtype: float64"
['5262625_5262622', ['>5262622>5262623>5262625']]	">5262622>5262623>5262625   NaN
dtype: float64"
['5262625_5262622', ['>5262622>5262624>5262625']]	">5262622>5262624>5262625   NaN
dtype: float64"
['5262622_5262619', ['>5262619>5262620>5262622']]	">5262619>5262620>5262622   NaN
dtype: float64"
['5262622_5262619', ['>5262619>5262621>5262622']]	">5262619>5262621>5262622   NaN
dtype: float64"
['5262619_5262614', ['>5262614>5262615>5262617>5262619']]	">5262614>5262615>5262617>5262619   NaN
dtype: float64"
['5262619_5262614', ['>5262614>5262616>5262617>5262619']]	">5262614>5262616>5262617>5262619   NaN
dtype: float64"
['5262619_5262614', ['>5262614>5262616>5262618>5262619']]	">5262614>5262616>5262618>5262619   NaN
dtype: float64"
['5262614_5262611', ['>5262611>5262612>5262614']]	">5262611>5262612>5262614   NaN
dtype: float64"
['5262614_5262611', ['>5262611>5262613>5262614']]	">5262611>5262613>5262614   NaN
dtype: float64"
['5262611_5262608', ['>5262608>5262609>5262611']]	">5262608>5262609>5262611   NaN
dtype: float64"
['5262611_5262608', ['>5262608>5262610>5262611']]	">5262608>5262610>5262611   NaN
dtype: float64"
['5262608_5262605', ['>5262605>5262606>5262608']]	">5262605>5262606>5262608   NaN
dtype: float64"
['5262608_5262605', ['>5262605>5262607>5262608']]	">5262605>5262607>5262608   NaN
dtype: float64"
['5262604_5262601', ['>5262601>5262604']]	">5262601>5262604   NaN
dtype: float64"
['5262604_5262601', ['>5262601>5262602>*>5262603>5262604']]	">5262601>5262602>*>5262603>5262604   NaN
dtype: float64"
['5262601_5262598', ['>5262598>5262599>5262601']]	">5262598>5262599>5262601   NaN
dtype: float64"
['5262601_5262598', ['>5262598>5262600>5262601']]	">5262598>5262600>5262601   NaN
dtype: float64"
['5262598_5262595', ['>5262595>5262596>5262598']]	">5262595>5262596>5262598   NaN
dtype: float64"
['5262598_5262595', ['>5262595>5262597>5262598']]	">5262595>5262597>5262598   NaN
dtype: float64"
['5262594_5262591', ['>5262591>5262592>5262594']]	">5262591>5262592>5262594   NaN
dtype: float64"
['5262594_5262591', ['>5262591>5262593>5262594']]	">5262591>5262593>5262594   NaN
dtype: float64"
['5262591_5262588', ['>5262588>5262589>5262591']]	">5262588>5262589>5262591   NaN
dtype: float64"
['5262591_5262588', ['>5262588>5262590>5262591']]	">5262588>5262590>5262591   NaN
dtype: float64"
['5262588_5262586', ['>5262586>5262588']]	">5262586>5262588   NaN
dtype: float64"
['5262588_5262586', ['>5262586>5262587>5262588']]	">5262586>5262587>5262588   NaN
dtype: float64"
['5262586_5262583', ['>5262583>5262584>5262586']]	">5262583>5262584>5262586   NaN
dtype: float64"
['5262586_5262583', ['>5262583>5262585>5262586']]	">5262583>5262585>5262586   NaN
dtype: float64"
['5262583_5262580', ['>5262580>5262581>5262583']]	">5262580>5262581>5262583   NaN
dtype: float64"
['5262583_5262580', ['>5262580>5262582>5262583']]	">5262580>5262582>5262583   NaN
dtype: float64"
['5262580_5262577', ['>5262577>5262578>5262580']]	">5262577>5262578>5262580   NaN
dtype: float64"
['5262580_5262577', ['>5262577>5262579>5262580']]	">5262577>5262579>5262580   NaN
dtype: float64"
['5262577_5262574', ['>5262574>5262575>5262577']]	">5262574>5262575>5262577   NaN
dtype: float64"
['5262577_5262574', ['>5262574>5262576>5262577']]	">5262574>5262576>5262577   NaN
dtype: float64"
['5262574_5262571', ['>5262571>5262572>5262574']]	">5262571>5262572>5262574   NaN
dtype: float64"
['5262574_5262571', ['>5262571>5262573>5262574']]	">5262571>5262573>5262574   NaN
dtype: float64"
['5262571_5262569', ['>5262569>5262571']]	">5262569>5262571   NaN
dtype: float64"
['5262571_5262569', ['>5262569>5262570>5262571']]	">5262569>5262570>5262571   NaN
dtype: float64"
['5262569_5262566', ['>5262566>5262567>5262569']]	">5262566>5262567>5262569   NaN
dtype: float64"
['5262569_5262566', ['>5262566>5262568>5262569']]	">5262566>5262568>5262569   NaN
dtype: float64"
['5262565_5262563', ['>5262563>5262565']]	">5262563>5262565   NaN
dtype: float64"
['5262565_5262563', ['>5262563>5262564>5262565']]	">5262563>5262564>5262565   NaN
dtype: float64"
['5262563_5262556', ['>5262556>5262563']]	">5262556>5262563   NaN
dtype: float64"
['5262563_5262556', ['>5262556>5262557>5262563']]	">5262556>5262557>5262563   NaN
dtype: float64"
['5262563_5262556', ['>5262556>5262557>5262558>5262563']]	">5262556>5262557>5262558>5262563   NaN
dtype: float64"
['5262563_5262556', ['>5262556>5262557>5262558>5262559>5262563']]	">5262556>5262557>5262558>5262559>5262563   NaN
dtype: float64"
['5262563_5262556', ['>5262556>5262557>5262558>5262559>5262560>5262563']]	">5262556>5262557>5262558>5262559>5262560>5262563   NaN
dtype: float64"
['5262563_5262556', ['>5262556>5262557>5262558>5262559>5262560>5262561>5262563']]	">5262556>5262557>5262558>5262559>5262560>5262561>5262563   NaN
dtype: float64"
['5262563_5262556', ['>5262556>5262557>5262558>5262559>5262560>5262561>5262562>5262563']]	">5262556>5262557>5262558>5262559>5262560>5262561>5262562>5262563   NaN
dtype: float64"
['5262556_5262553', ['>5262553>5262554>5262556']]	">5262553>5262554>5262556   NaN
dtype: float64"
['5262556_5262553', ['>5262553>5262555>5262556']]	">5262553>5262555>5262556   NaN
dtype: float64"
['5262553_5262550', ['>5262550>5262551>5262553']]	">5262550>5262551>5262553   NaN
dtype: float64"
['5262553_5262550', ['>5262550>5262552>5262553']]	">5262550>5262552>5262553   NaN
dtype: float64"
['5262550_5262548', ['>5262548>5262550']]	">5262548>5262550   NaN
dtype: float64"
['5262550_5262548', ['>5262548>5262549>5262550']]	">5262548>5262549>5262550   NaN
dtype: float64"
['5262548_5262546', ['>5262546>5262548']]	">5262546>5262548   NaN
dtype: float64"
['5262548_5262546', ['>5262546>5262547>5262548']]	">5262546>5262547>5262548   NaN
dtype: float64"
['5262546_5262538', ['>5262538>5262546']]	">5262538>5262546   NaN
dtype: float64"
['5262546_5262538', ['>5262538>5262539>*>5262545>5262546']]	">5262538>5262539>*>5262545>5262546   NaN
dtype: float64"
['5262538_5262536', ['>5262536>5262538']]	">5262536>5262538   NaN
dtype: float64"
['5262538_5262536', ['>5262536>5262537>5262538']]	">5262536>5262537>5262538   NaN
dtype: float64"
['5262536_5262534', ['>5262534>5262536']]	">5262534>5262536   NaN
dtype: float64"
['5262536_5262534', ['>5262534>5262535>5262536']]	">5262534>5262535>5262536   NaN
dtype: float64"
['5262534_5262532', ['>5262532>5262534']]	">5262532>5262534   NaN
dtype: float64"
['5262534_5262532', ['>5262532>5262533>5262534']]	">5262532>5262533>5262534   NaN
dtype: float64"
['5262532_5262530', ['>5262530>5262532']]	">5262530>5262532   NaN
dtype: float64"
['5262532_5262530', ['>5262530>5262531>5262532']]	">5262530>5262531>5262532   NaN
dtype: float64"
['5262530_5262507', ['>5262507>5262530']]	">5262507>5262530   NaN
dtype: float64"
['5262530_5262507', ['>5262507>5262508>*>5262529>5262530']]	">5262507>5262508>*>5262529>5262530   NaN
dtype: float64"
['5262529_5262526', ['>5262526>5262527>5262529']]	">5262526>5262527>5262529   NaN
dtype: float64"
['5262529_5262526', ['>5262526>5262528>5262529']]	">5262526>5262528>5262529   NaN
dtype: float64"
['5262526_5262523', ['>5262523>5262524>5262526']]	">5262523>5262524>5262526   NaN
dtype: float64"
['5262526_5262523', ['>5262523>5262525>5262526']]	">5262523>5262525>5262526   NaN
dtype: float64"
['5262523_5262520', ['>5262520>5262521>5262523']]	">5262520>5262521>5262523   NaN
dtype: float64"
['5262523_5262520', ['>5262520>5262522>5262523']]	">5262520>5262522>5262523   NaN
dtype: float64"
['5262520_5262517', ['>5262517>5262518>5262520']]	">5262517>5262518>5262520   NaN
dtype: float64"
['5262520_5262517', ['>5262517>5262519>5262520']]	">5262517>5262519>5262520   NaN
dtype: float64"
['5262517_5262514', ['>5262514>5262515>5262517']]	">5262514>5262515>5262517   NaN
dtype: float64"
['5262517_5262514', ['>5262514>5262516>5262517']]	">5262514>5262516>5262517   NaN
dtype: float64"
['5262514_5262511', ['>5262511>5262512>5262514']]	">5262511>5262512>5262514   NaN
dtype: float64"
['5262514_5262511', ['>5262511>5262513>5262514']]	">5262511>5262513>5262514   NaN
dtype: float64"
['5262511_5262508', ['>5262508>5262509>5262511']]	">5262508>5262509>5262511   NaN
dtype: float64"
['5262511_5262508', ['>5262508>5262510>5262511']]	">5262508>5262510>5262511   NaN
dtype: float64"
['5262507_5262504', ['>5262504>5262505>5262507']]	">5262504>5262505>5262507   NaN
dtype: float64"
['5262507_5262504', ['>5262504>5262506>5262507']]	">5262504>5262506>5262507   NaN
dtype: float64"
['5262504_5262501', ['>5262501>5262502>5262504']]	">5262501>5262502>5262504   NaN
dtype: float64"
['5262504_5262501', ['>5262501>5262503>5262504']]	">5262501>5262503>5262504   NaN
dtype: float64"
['5262500_5262497', ['>5262497>5262498>5262500']]	">5262497>5262498>5262500   NaN
dtype: float64"
['5262500_5262497', ['>5262497>5262499>5262500']]	">5262497>5262499>5262500   NaN
dtype: float64"
['5262497_5262494', ['>5262494>5262495>5262497']]	">5262494>5262495>5262497   NaN
dtype: float64"
['5262497_5262494', ['>5262494>5262496>5262497']]	">5262494>5262496>5262497   NaN
dtype: float64"
['5262494_5262491', ['>5262491>5262492>5262494']]	">5262491>5262492>5262494   NaN
dtype: float64"
['5262494_5262491', ['>5262491>5262493>5262494']]	">5262491>5262493>5262494   NaN
dtype: float64"
['5262491_5262489', ['>5262489>5262491']]	">5262489>5262491   NaN
dtype: float64"
['5262491_5262489', ['>5262489>5262490>5262491']]	">5262489>5262490>5262491   NaN
dtype: float64"
['5262489_5262486', ['>5262486>5262487>5262489']]	">5262486>5262487>5262489   NaN
dtype: float64"
['5262489_5262486', ['>5262486>5262488>5262489']]	">5262486>5262488>5262489   NaN
dtype: float64"
['5262486_5262483', ['>5262483>5262484>5262486']]	">5262483>5262484>5262486   NaN
dtype: float64"
['5262486_5262483', ['>5262483>5262485>5262486']]	">5262483>5262485>5262486   NaN
dtype: float64"
['5262483_5262480', ['>5262480>5262481>5262483']]	">5262480>5262481>5262483   NaN
dtype: float64"
['5262483_5262480', ['>5262480>5262482>5262483']]	">5262480>5262482>5262483   NaN
dtype: float64"
['5262480_5262478', ['>5262478>5262480']]	">5262478>5262480   NaN
dtype: float64"
['5262480_5262478', ['>5262478>5262479>5262480']]	">5262478>5262479>5262480   NaN
dtype: float64"
['5262478_5262475', ['>5262475>5262476>5262478']]	">5262475>5262476>5262478   NaN
dtype: float64"
['5262478_5262475', ['>5262475>5262477>5262478']]	">5262475>5262477>5262478   NaN
dtype: float64"
['5262475_5262472', ['>5262472>5262473>5262475']]	">5262472>5262473>5262475   NaN
dtype: float64"
['5262475_5262472', ['>5262472>5262474>5262475']]	">5262472>5262474>5262475   NaN
dtype: float64"
['5262472_5262469', ['>5262469>5262470>5262472']]	">5262469>5262470>5262472   NaN
dtype: float64"
['5262472_5262469', ['>5262469>5262471>5262472']]	">5262469>5262471>5262472   NaN
dtype: float64"
['5262469_5262466', ['>5262466>5262467>5262469']]	">5262466>5262467>5262469   NaN
dtype: float64"
['5262469_5262466', ['>5262466>5262468>5262469']]	">5262466>5262468>5262469   NaN
dtype: float64"
['5262466_5262463', ['>5262463>5262464>5262466']]	">5262463>5262464>5262466   NaN
dtype: float64"
['5262466_5262463', ['>5262463>5262465>5262466']]	">5262463>5262465>5262466   NaN
dtype: float64"
['5262463_5262028', ['>5262028>5262463']]	">5262028>5262463   NaN
dtype: float64"
['5262463_5262028', ['>5262028>5262029>*>5262462>5262463']]	">5262028>5262029>*>5262462>5262463   NaN
dtype: float64"
['5262462_5262460', ['>5262460>5262462']]	">5262460>5262462   NaN
dtype: float64"
['5262462_5262460', ['>5262460>5262461>5262462']]	">5262460>5262461>5262462   NaN
dtype: float64"
['5262460_5262457', ['>5262457>5262458>5262460']]	">5262457>5262458>5262460   NaN
dtype: float64"
['5262460_5262457', ['>5262457>5262459>5262460']]	">5262457>5262459>5262460   NaN
dtype: float64"
['5262457_5262450', ['>5262450>5262457']]	">5262450>5262457   NaN
dtype: float64"
['5262457_5262450', ['>5262450>5262451>*>5262456>5262457']]	">5262450>5262451>*>5262456>5262457   NaN
dtype: float64"
['5262456_5262454', ['>5262454>5262456']]	">5262454>5262456   NaN
dtype: float64"
['5262456_5262454', ['>5262454>5262455>5262456']]	">5262454>5262455>5262456   NaN
dtype: float64"
['5262450_5262447', ['>5262447>5262448>5262450']]	">5262447>5262448>5262450   NaN
dtype: float64"
['5262450_5262447', ['>5262447>5262449>5262450']]	">5262447>5262449>5262450   NaN
dtype: float64"
['5262447_5262444', ['>5262444>5262445>5262447']]	">5262444>5262445>5262447   NaN
dtype: float64"
['5262447_5262444', ['>5262444>5262446>5262447']]	">5262444>5262446>5262447   NaN
dtype: float64"
['5262444_5262441', ['>5262441>5262442>5262444']]	">5262441>5262442>5262444   NaN
dtype: float64"
['5262444_5262441', ['>5262441>5262443>5262444']]	">5262441>5262443>5262444   NaN
dtype: float64"
['5262441_5262438', ['>5262438>5262439>5262441']]	">5262438>5262439>5262441   NaN
dtype: float64"
['5262441_5262438', ['>5262438>5262440>5262441']]	">5262438>5262440>5262441   NaN
dtype: float64"
['5262438_5262436', ['>5262436>5262438']]	">5262436>5262438   NaN
dtype: float64"
['5262438_5262436', ['>5262436>5262437>5262438']]	">5262436>5262437>5262438   NaN
dtype: float64"
['5262436_5262433', ['>5262433>5262434>5262436']]	">5262433>5262434>5262436   NaN
dtype: float64"
['5262436_5262433', ['>5262433>5262435>5262436']]	">5262433>5262435>5262436   NaN
dtype: float64"
['5262433_5262428', ['>5262428>5262429>5262431>5262433']]	">5262428>5262429>5262431>5262433   NaN
dtype: float64"
['5262433_5262428', ['>5262428>5262430>5262431>5262433']]	">5262428>5262430>5262431>5262433   NaN
dtype: float64"
['5262433_5262428', ['>5262428>5262429>5262432>5262433']]	">5262428>5262429>5262432>5262433   NaN
dtype: float64"
['5262428_5262425', ['>5262425>5262428']]	">5262425>5262428   NaN
dtype: float64"
['5262428_5262425', ['>5262425>5262427>5262428']]	">5262425>5262427>5262428   NaN
dtype: float64"
['5262428_5262425', ['>5262425>5262426>5262427>5262428']]	">5262425>5262426>5262427>5262428   NaN
dtype: float64"
['5262425_5262423', ['>5262423>5262425']]	">5262423>5262425   NaN
dtype: float64"
['5262425_5262423', ['>5262423>5262424>5262425']]	">5262423>5262424>5262425   NaN
dtype: float64"
['5262422_5262419', ['>5262419>5262422']]	">5262419>5262422   NaN
dtype: float64"
['5262422_5262419', ['>5262419>5262421>5262422']]	">5262419>5262421>5262422   NaN
dtype: float64"
['5262422_5262419', ['>5262419>5262420>5262421>5262422']]	">5262419>5262420>5262421>5262422   NaN
dtype: float64"
['5262419_5262417', ['>5262417>5262419']]	">5262417>5262419   NaN
dtype: float64"
['5262419_5262417', ['>5262417>5262418>5262419']]	">5262417>5262418>5262419   NaN
dtype: float64"
['5262417_5262415', ['>5262415>5262417']]	">5262415>5262417   NaN
dtype: float64"
['5262417_5262415', ['>5262415>5262416>5262417']]	">5262415>5262416>5262417   NaN
dtype: float64"
['5262415_5262412', ['>5262412>5262413>5262415']]	">5262412>5262413>5262415   NaN
dtype: float64"
['5262415_5262412', ['>5262412>5262414>5262415']]	">5262412>5262414>5262415   NaN
dtype: float64"
['5262412_5262409', ['>5262409>5262410>5262412']]	">5262409>5262410>5262412   NaN
dtype: float64"
['5262412_5262409', ['>5262409>5262411>5262412']]	">5262409>5262411>5262412   NaN
dtype: float64"
['5262409_5262406', ['>5262406>5262407>5262409']]	">5262406>5262407>5262409   NaN
dtype: float64"
['5262409_5262406', ['>5262406>5262408>5262409']]	">5262406>5262408>5262409   NaN
dtype: float64"
['5262406_5262404', ['>5262404>5262406']]	">5262404>5262406   NaN
dtype: float64"
['5262406_5262404', ['>5262404>5262405>5262406']]	">5262404>5262405>5262406   NaN
dtype: float64"
['5262404_5262401', ['>5262401>5262402>5262404']]	">5262401>5262402>5262404   NaN
dtype: float64"
['5262404_5262401', ['>5262401>5262403>5262404']]	">5262401>5262403>5262404   NaN
dtype: float64"
['5262401_5262398', ['>5262398>5262399>5262401']]	">5262398>5262399>5262401   NaN
dtype: float64"
['5262401_5262398', ['>5262398>5262400>5262401']]	">5262398>5262400>5262401   NaN
dtype: float64"
['5262398_5262395', ['>5262395>5262396>5262398']]	">5262395>5262396>5262398   NaN
dtype: float64"
['5262398_5262395', ['>5262395>5262397>5262398']]	">5262395>5262397>5262398   NaN
dtype: float64"
['5262395_5262392', ['>5262392>5262393>5262395']]	">5262392>5262393>5262395   NaN
dtype: float64"
['5262395_5262392', ['>5262392>5262394>5262395']]	">5262392>5262394>5262395   NaN
dtype: float64"
['5262392_5262390', ['>5262390>5262392']]	">5262390>5262392   NaN
dtype: float64"
['5262392_5262390', ['>5262390>5262391>5262392']]	">5262390>5262391>5262392   NaN
dtype: float64"
['5262390_5262388', ['>5262388>5262390']]	">5262388>5262390   NaN
dtype: float64"
['5262390_5262388', ['>5262388>5262389>5262390']]	">5262388>5262389>5262390   NaN
dtype: float64"
['5262388_5262385', ['>5262385>5262386>5262388']]	">5262385>5262386>5262388   NaN
dtype: float64"
['5262388_5262385', ['>5262385>5262387>5262388']]	">5262385>5262387>5262388   NaN
dtype: float64"
['5262385_5262383', ['>5262383>5262385']]	">5262383>5262385   NaN
dtype: float64"
['5262385_5262383', ['>5262383>5262384>5262385']]	">5262383>5262384>5262385   NaN
dtype: float64"
['5262383_5262380', ['>5262380>5262381>5262383']]	">5262380>5262381>5262383   NaN
dtype: float64"
['5262383_5262380', ['>5262380>5262382>5262383']]	">5262380>5262382>5262383   NaN
dtype: float64"
['5262380_5262377', ['>5262377>5262378>5262380']]	">5262377>5262378>5262380   NaN
dtype: float64"
['5262380_5262377', ['>5262377>5262379>5262380']]	">5262377>5262379>5262380   NaN
dtype: float64"
['5262377_5262375', ['>5262375>5262377']]	">5262375>5262377   NaN
dtype: float64"
['5262377_5262375', ['>5262375>5262376>5262377']]	">5262375>5262376>5262377   NaN
dtype: float64"
['5262375_5262373', ['>5262373>5262375']]	">5262373>5262375   NaN
dtype: float64"
['5262375_5262373', ['>5262373>5262374>5262375']]	">5262373>5262374>5262375   NaN
dtype: float64"
['5262373_5262371', ['>5262371>5262373']]	">5262371>5262373   NaN
dtype: float64"
['5262373_5262371', ['>5262371>5262372>5262373']]	">5262371>5262372>5262373   NaN
dtype: float64"
['5262371_5262368', ['>5262368>5262369>5262371']]	">5262368>5262369>5262371   NaN
dtype: float64"
['5262371_5262368', ['>5262368>5262370>5262371']]	">5262368>5262370>5262371   NaN
dtype: float64"
['5262368_5262366', ['>5262366>5262368']]	">5262366>5262368   NaN
dtype: float64"
['5262368_5262366', ['>5262366>5262367>5262368']]	">5262366>5262367>5262368   NaN
dtype: float64"
['5262366_5262364', ['>5262364>5262366']]	">5262364>5262366   NaN
dtype: float64"
['5262366_5262364', ['>5262364>5262365>5262366']]	">5262364>5262365>5262366   NaN
dtype: float64"
['5262364_5262362', ['>5262362>5262364']]	">5262362>5262364   NaN
dtype: float64"
['5262364_5262362', ['>5262362>5262363>5262364']]	">5262362>5262363>5262364   NaN
dtype: float64"
['5262362_5262360', ['>5262360>5262362']]	">5262360>5262362   NaN
dtype: float64"
['5262362_5262360', ['>5262360>5262361>5262362']]	">5262360>5262361>5262362   NaN
dtype: float64"
['5262360_5262358', ['>5262358>5262360']]	">5262358>5262360   NaN
dtype: float64"
['5262360_5262358', ['>5262358>5262359>5262360']]	">5262358>5262359>5262360   NaN
dtype: float64"
['5262358_5262356', ['>5262356>5262358']]	">5262356>5262358   NaN
dtype: float64"
['5262358_5262356', ['>5262356>5262357>5262358']]	">5262356>5262357>5262358   NaN
dtype: float64"
['5262356_5262354', ['>5262354>5262356']]	">5262354>5262356   NaN
dtype: float64"
['5262356_5262354', ['>5262354>5262355>5262356']]	">5262354>5262355>5262356   NaN
dtype: float64"
['5262354_5262351', ['>5262351>5262352>5262354']]	">5262351>5262352>5262354   NaN
dtype: float64"
['5262354_5262351', ['>5262351>5262353>5262354']]	">5262351>5262353>5262354   NaN
dtype: float64"
['5262351_5262349', ['>5262349>5262351']]	">5262349>5262351   NaN
dtype: float64"
['5262351_5262349', ['>5262349>5262350>5262351']]	">5262349>5262350>5262351   NaN
dtype: float64"
['5262349_5262344', ['>5262344>5262345>5262347>5262349']]	">5262344>5262345>5262347>5262349   NaN
dtype: float64"
['5262349_5262344', ['>5262344>5262346>5262347>5262349']]	">5262344>5262346>5262347>5262349   NaN
dtype: float64"
['5262349_5262344', ['>5262344>5262345>5262348>5262349']]	">5262344>5262345>5262348>5262349   NaN
dtype: float64"
['5262344_5262342', ['>5262342>5262344']]	">5262342>5262344   NaN
dtype: float64"
['5262344_5262342', ['>5262342>5262343>5262344']]	">5262342>5262343>5262344   NaN
dtype: float64"
